unix_timestamp_ms,bid,ask,mid
1764326080116,1.1153,1.1154,1.115350
1764326080368,1.1153,1.1154,1.115350
1764326080623,1.1155,1.1156,1.115550
1764326080882,1.1155,1.1156,1.115550
1764326081134,1.1153,1.1154,1.115350
1764326081384,1.115,1.1151,1.115050
1764326081639,1.115,1.1151,1.115050
1764326081890,1.115,1.1151,1.115050
1764326082149,1.1152,1.1153,1.115250
1764326082400,1.1151,1.1152,1.115150
1764326082655,1.1151,1.1152,1.115150
1764326082924,1.1151,1.1152,1.115150
1764326083176,1.115,1.1151,1.115050
1764326083451,1.1149,1.115,1.114950
1764326083703,1.1149,1.115,1.114950
1764326083954,1.1149,1.115,1.114950
1764326084235,1.1149,1.115,1.114950
1764326084487,1.1148,1.1149,1.114850
1764326084780,1.1148,1.1149,1.114850
1764326085049,1.1148,1.1149,1.114850
1764326085312,1.1148,1.1149,1.114850
1764326085583,1.1148,1.1149,1.114850
1764326085844,1.1148,1.1149,1.114850
1764326086102,1.1148,1.1149,1.114850
1764326086354,1.1148,1.1149,1.114850
1764326086604,1.1148,1.1149,1.114850
1764326086885,1.1148,1.1149,1.114850
1764326087159,1.1148,1.1149,1.114850
1764326087410,1.1148,1.1149,1.114850
1764326087684,1.1148,1.1149,1.114850
1764326087968,1.1148,1.1149,1.114850
1764326088218,1.1148,1.1149,1.114850
1764326088514,1.1148,1.1149,1.114850
1764326088766,1.1148,1.1149,1.114850
1764326089056,1.1148,1.1149,1.114850
1764326089329,1.1148,1.1149,1.114850
1764326089579,1.1148,1.1149,1.114850
1764326089834,1.1148,1.1149,1.114850
1764326090087,1.1148,1.1149,1.114850
1764326090349,1.1148,1.1149,1.114850
1764326090601,1.1149,1.115,1.114950
1764326090851,1.1157,1.1158,1.115750
1764326091101,1.1157,1.1158,1.115750
1764326091351,1.1157,1.1158,1.115750
1764326091601,1.1157,1.1158,1.115750
1764326091857,1.1155,1.1156,1.115550
1764326092109,1.1156,1.1157,1.115650
1764326092360,1.1157,1.1158,1.115750
1764326092613,1.1157,1.1158,1.115750
1764326092864,1.1157,1.1158,1.115750
1764326093114,1.1157,1.1158,1.115750
1764326093404,1.1155,1.1156,1.115550
1764326093654,1.1155,1.1156,1.115550
1764326093904,1.1155,1.1156,1.115550
1764326094159,1.1155,1.1156,1.115550
1764326094413,1.1155,1.1156,1.115550
1764326094663,1.1155,1.1156,1.115550
1764326094924,1.1155,1.1156,1.115550
1764326095187,1.1155,1.1156,1.115550
1764326095437,1.1155,1.1156,1.115550
1764326095742,1.1155,1.1156,1.115550
1764326096024,1.1155,1.1156,1.115550
1764326096276,1.1155,1.1156,1.115550
1764326096575,1.1155,1.1156,1.115550
1764326096837,1.1155,1.1156,1.115550
1764326097118,1.1155,1.1156,1.115550
1764326097369,1.1155,1.1156,1.115550
1764326097660,1.1155,1.1156,1.115550
1764326097925,1.1154,1.1155,1.115450
1764326098176,1.1152,1.1153,1.115250
1764326098429,1.1152,1.1153,1.115250
1764326098680,1.1151,1.1152,1.115150
1764326098935,1.115,1.1151,1.115050
1764326099193,1.115,1.1151,1.115050
1764326099449,1.115,1.1151,1.115050
1764326099700,1.1148,1.1149,1.114850
1764326099974,1.1148,1.1149,1.114850
1764326100242,1.1148,1.1149,1.114850
1764326100492,1.1148,1.1149,1.114850
1764326100743,1.1148,1.1149,1.114850
1764326100995,1.1148,1.1149,1.114850
1764326101251,1.1148,1.1149,1.114850
1764326101508,1.1148,1.1149,1.114850
1764326101768,1.115,1.1151,1.115050
1764326102018,1.1151,1.1152,1.115150
1764326102270,1.1151,1.1152,1.115150
1764326102534,1.1151,1.1152,1.115150
1764326102786,1.1151,1.1152,1.115150
1764326103036,1.1151,1.1152,1.115150
1764326103290,1.1149,1.115,1.114950
1764326103569,1.1149,1.115,1.114950
1764326103823,1.1148,1.1149,1.114850
1764326104094,1.1148,1.1149,1.114850
1764326104374,1.1148,1.1149,1.114850
1764326104648,1.1148,1.1149,1.114850
1764326104903,1.1148,1.1149,1.114850
1764326105160,1.1148,1.1149,1.114850
1764326105414,1.1148,1.1149,1.114850
1764326105664,1.1148,1.1149,1.114850
1764326105916,1.1148,1.1149,1.114850
1764326106173,1.1148,1.1149,1.114850
1764326106427,1.1148,1.1149,1.114850
1764326106689,1.1148,1.1149,1.114850
1764326106941,1.1147,1.1148,1.114750
1764326107191,1.1145,1.1147,1.114600
1764326107444,1.1144,1.1145,1.114450
1764326107695,1.1144,1.1145,1.114450
1764326107948,1.1145,1.1146,1.114550
1764326108198,1.1145,1.1146,1.114550
1764326108473,1.1146,1.1147,1.114650
1764326108725,1.1145,1.1146,1.114550
1764326108997,1.1145,1.1146,1.114550
1764326109264,1.1145,1.1146,1.114550
1764326109551,1.1144,1.1145,1.114450
1764326109834,1.1144,1.1145,1.114450
1764326110107,1.1144,1.1145,1.114450
1764326110378,1.1144,1.1145,1.114450
1764326110628,1.1144,1.1145,1.114450
1764326110926,1.1144,1.1145,1.114450
1764326111177,1.1144,1.1145,1.114450
1764326111440,1.1144,1.1145,1.114450
1764326111690,1.1142,1.1143,1.114250
1764326111948,1.1142,1.1143,1.114250
1764326112209,1.1142,1.1143,1.114250
1764326112461,1.1142,1.1143,1.114250
1764326112711,1.1138,1.1139,1.113850
1764326112968,1.1138,1.1139,1.113850
1764326113218,1.1138,1.1139,1.113850
1764326113494,1.1138,1.1139,1.113850
1764326113746,1.1138,1.1139,1.113850
1764326113999,1.1138,1.1139,1.113850
1764326114300,1.1139,1.114,1.113950
